GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gestion Mesas,es.esi.cr.iso.gestionmesas.model.enums,ComidaEnum,24,0,0,0,2,0,1,0,1,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.model.enums,MesaEnum,14,63,0,0,6,6,4,2,4,2
Gestion Mesas,es.esi.cr.iso.gestionmesas.model.enums,TurnoEnum,34,0,0,0,2,0,1,0,1,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.model.enums,SourceEnum,115,0,2,0,23,0,13,0,12,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.model.enums,SourceConcernEnum,65,0,0,0,12,0,6,0,6,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.model.enums,EstadoEnum,14,123,0,0,6,8,4,2,4,2
Gestion Mesas,es.esi.cr.iso.gestionmesas.model,Transaccion,31,0,0,0,14,0,9,0,9,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.model,AbstractEntity,57,0,6,0,13,0,10,0,7,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.model,Reserva,31,0,0,0,14,0,9,0,9,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.model,Servicio,55,0,0,0,13,0,8,0,8,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.persistency,PersistenceContext,119,0,0,0,24,0,4,0,4,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.persistency,ReservaDao,20,0,0,0,6,0,2,0,2,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.persistency,ServicioDao,20,0,0,0,6,0,2,0,2,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.persistency,AbstractDao,103,0,4,0,23,0,12,0,10,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.controller,GestorMesas,195,50,19,3,42,15,23,6,13,5
Gestion Mesas,es.esi.cr.iso.gestionmesas.controller,GestorReservas,124,0,2,0,40,0,18,0,17,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.config,MyWebMvcConfig.new WebMvcConfigurerAdapter() {...},12,0,0,0,3,0,2,0,2,0
Gestion Mesas,es.esi.cr.iso.gestionmesas.config,MyWebMvcConfig,24,0,0,0,7,0,4,0,4,0
Gestion Mesas,es.esi.cr.iso.gestionmesas,GestionMesasApplication,22,0,0,0,5,0,4,0,4,0
Gestion Mesas,es.esi.cr.iso.gestionmesas,GestionMesasApplication.new ServletContextInitializer() {...},23,0,0,0,5,0,2,0,2,0
